Experiment	Description	SRRs	Sense_Coverage_Cutoff	Gene_Length_Cutoff	Residual_Cutoff	wB_Cutoff	wB_a_Cutoff	Coverage_Antisense_Cutoff	Normalized_Complexity_Cutoff	Sense_Coverage_Cutoff_Adj
Meta-BEAS2B-Woodsmoke	Meta-samples of woodsmoke PRO-seq data from Gupta et al. 2021	SRR13772348 SRR13772349 SRR13772350 SRR13772351 SRR13772352 SRR13772353	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
OV90-CDK7i	CDK7 PRO-seq inhibitor (SY5609) data from Jones et al. 2025	SRR23989399 SRR23989398 SRR23989397 SRR23989396	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
U2OS-Specific	U2OS (arsenic controls) PRO-seq data described in manuscript	GSM9321236 GSM9321237 	0.0075	7000	13	0.5	0.7	0.005	0.001	0.0075
Meta-Eric-HS	Meta-samples of heat shocked PRO-seq data from Cardiello et al. 2024	SRR14352131 SRR14352132 SRR14352135 SRR14352136	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Nina-Arsenic	Arsenic PRO-seq data described in manuscript	GSM9321236 GSM9321237 GSM9321238 GSM9321239	0.0075	7000	13	0.5	0.7	0.005	0.001	0.0075
Meta-Jaegar2020-CDK9i	Meta-samples of CDK9 inhibition PRO-seq data from Jaegar et al. 2020 	SRZ10354600 SRZ10354602 SRZ10354616 SRZ10354618	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Jaegar2020-CDK9i	CDK9 inhibition PRO-seq data from Jaegar et al. 2020 	SRZ10354600 SRZ10354602 SRZ10354616 SRZ10354618	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HCT-SRRs	All high quality control PRO-seq samples in HCT116 cells from DBNascent (Sigauke et al. 2025)	SRR6290501 SRR6290500 SRR6290499 SRR9304731 SRR9304730 SRR6290518 SRR6290517 SRR6290516 SRR6290515 SRR6290510 SRR6290509 SRR6290508 SRR6290507 SRR6290502 SRR8867628 SRR6290526 SRR6290525 SRR6290523 SRR6290524 SRR8867629 SRR8867637 SRR8867636	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Eric-HS	Samples of heat shocked PRO-seq data from Cardiello et al. 2024	SRR14352131 SRR14352132 SRR14352135 SRR14352136	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-Nina-Arsenic	Meta-samples of arsenic PRO-seq data described in manuscript	GSM9321236 GSM9321237 GSM9321238 GSM9321239	0.0075	7000	13	0.5	0.7	0.005	0.001	0.0075
BEAS2B-Woodsmoke	Samples of PRO-seq data from Gupta et al. 2021	SRR13772348 SRR13772349 SRR13772350 SRR13772351 SRR13772352 SRR13772353	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
LCL-Specfic	Meta-sample of all high quality control PRO-seq samples in LCL cells from DBNascent (Sigauke et al. 2025)	SRR6727941 SRR6727942 SRR6727943 SRR6727944 SRR6727945 SRR6727946 SRR6727947 SRR6727948 SRR6727949 SRR6727950 SRR6727951 SRR6727952 SRR6727953 SRR6727954 SRR6727955 SRR6727956 SRR6727957 SRR6727958 SRR6727959	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-OV90-CDK7i	Meta-samples of CDK7 PRO-seq inhibitor (SY5609) data from Jones et al. 2025	SRR23989399 SRR23989398 SRR23989397 SRR23989396	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HCT-Specific	Meta-sample of all high quality control PRO-seq samples in HCT116 cells from DBNascent (Sigauke et al. 2025)	SRR6290501 SRR6290500 SRR6290499 SRR9304731 SRR9304730 SRR6290518 SRR6290517 SRR6290516 SRR6290515 SRR6290510 SRR6290509 SRR6290508 SRR6290507 SRR6290502 SRR8867628 SRR6290526 SRR6290525 SRR6290523 SRR6290524 SRR8867629 SRR8867637 SRR8867636	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
LCL-SRRs	All high quality control PRO-seq samples in LCL cells from DBNascent (Sigauke et al. 2025)	SRR6727941 SRR6727942 SRR6727943 SRR6727944 SRR6727945 SRR6727946 SRR6727947 SRR6727948 SRR6727949 SRR6727950 SRR6727951 SRR6727952 SRR6727953 SRR6727954 SRR6727955 SRR6727956 SRR6727957 SRR6727958 SRR6727959	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
KBM7-SRRs	All high quality control PRO-seq samples in KBM7 cells from DBNascent (Sigauke et al. 2025)	SRR10354625 SRR10354624 SRR10354600 SRR10354601 SRR10354602 SRR10354603 SRR10354608 SRR10354609 SRR10354610 SRR10354611	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
K562-Specific	All high quality control PRO-seq samples in K562 cells from DBNascent (Sigauke et al. 2025)	SRR12083665 SRR8137173 SRR4454568 SRR4454567 SRR11793826 SRR11793825 SRR12083664 SRR1554311 SRR1554312 SRR5364303 SRR5364304 SRR8669163 SRR8669162	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
U2OS-SRRs	PRO-seq data described in manuscript (U2OS cells)	GSM9321236 GSM9321237 	0.0075	7000	13	0.5	0.7	0.005	0.001	0.0075
KBM7-Specific	Meta-sample of all high quality control PRO-seq samples in KBM7 cells from DBNascent (Sigauke et al. 2025)	SRR10354625 SRR10354624 SRR10354600 SRR10354601 SRR10354602 SRR10354603 SRR10354608 SRR10354609 SRR10354610 SRR10354611	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
K562-SRRs	All high quality control PRO-seq samples in K562 cells from DBNascent (Sigauke et al. 2025)	SRR12083665 SRR8137173 SRR4454568 SRR4454567 SRR11793826 SRR11793825 SRR12083664 SRR1554311 SRR1554312 SRR5364303 SRR5364304 SRR8669163 SRR8669162	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HEp2-Specific	Meta-samples of PRO-seq data in Birkenheuer et al. 1018 (HEp2-Specific)	SRR6216708 SRR6216709 SRR6216710	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HEp2-SRRs	PRO-seq samples in Birkenheuer et al. 1018 (HEp2-Specific)	SRR6216708 SRR6216709 SRR6216710	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Birkenheuer2018herpes	Samples (including HSV-1 infected) of PRO-seq data in Birkenheuer et al. 2018 (HEp2-Specific)	SRR6216708 SRR6216709 SRR6216710 SRR6216711 SRR6216712 SRR6216713	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-Birkenheuer2018herpes	Meta-samples (including HSV-1 infected) of PRO-seq data in Birkenheuer et al. 2018 (HEp2-Specific)	SRR6216708 SRR6216709 SRR6216710 SRR6216711 SRR6216712 SRR6216713	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Steinparzer2019transcriptional	PRO-seq samples from Steinparzer et al. 2019	SRR8867628 SRR8867629 SRR8867622 SRR8867623 SRR7824015 SRR7824016	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
Meta-Steinparzer2019transcriptional	Meta PRO-seq samples from Steinparzer et al. 2019	SRR8867628 SRR8867629 SRR8867622 SRR8867623 SRR7824015 SRR7824016	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HEK293T-HEK293-Specific	Meta-sample of all high quality control PRO-seq samples in HEK293 & HEK293T cells from DBNascent (Sigauke et al. 2025)	SRR6026781 SRR6026782 SRR6927839 SRR7988488 SRR7988490	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
HEK293T-HEK293-SRRs	All high quality control PRO-seq samples in HEK293 & HEK293T cells from DBNascent (Sigauke et al. 2025)	SRR6026781 SRR6026782 SRR6927839 SRR7988488 SRR7988490	0.001	7000	13	0.5	0.7	0.005	0.001	0.001
