Experiment	Samples	Sample_Count	Colors	Sense_Coverage_Cutoff	Gene_Length_Cutoff	Annotation	Lifted_Over_Path	Residual_Cutoff	wB_Cutoff	wB_a_Cutoff	Coverage_Antisense_Cutoff	Names	Normalized_Complexity_Cutoff
BSA-nomLeu3	"BSA-nomLeu3_PRO-BSA-Gibbon-1.nomLeu3,BSA-nomLeu3_PRO-BSA-Gibbon-2.nomLeu3"	2	"#ec8553,#ec8553"	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//BSA-nomLeu3/BSA-nomLeu3-3p-UTR.liet.ann	/Users/geba9152/3end_paper_backed_up_data/MANE-annotation-overlaps-across-all-species/merged.hg38_nomLeu3.bed	13	0.5	0.7	0.005	"PRO-BSA-Gibbon-1.nomLeu3,PRO-BSA-Gibbon-2.nomLeu3"	0.001
BSA-saiBol1	"BSA-saiBol1_PRO-BSA-SquirrelMonkey-1.saiBol1,BSA-saiBol1_PRO-BSA-SquirrelMonkey-2.saiBol1"	2	"#eccb53,#eccb53"	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//BSA-saiBol1/BSA-saiBol1-3p-UTR.liet.ann	/Users/geba9152/3end_paper_backed_up_data/MANE-annotation-overlaps-across-all-species/merged.hg38_saiBol1.bed	13	0.5	0.7	0.005	"PRO-BSA-SquirrelMonkey-1.saiBol1,PRO-BSA-SquirrelMonkey-2.saiBol1"	0.001
BSA-rheMac10	"BSA-rheMac10_PRO-BSA-Rhesus-1.rheMac10,BSA-rheMac10_PRO-BSA-Rhesus-2.rheMac10"	2	"#c689d6,#c689d6"	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//BSA-rheMac10/BSA-rheMac10-3p-UTR.liet.ann	/Users/geba9152/3end_paper_backed_up_data/MANE-annotation-overlaps-across-all-species/merged.hg38_rheMac10.bed	13	0.5	0.7	0.005	"PRO-BSA-Rhesus-1.rheMac10,PRO-BSA-Rhesus-2.rheMac10"	0.001
BSA-hg38	"BSA-hg38_PRO-BSA-Human-1.hg38,BSA-hg38_PRO-BSA-Human-2.hg38"	2	"#d689b5,#d689b5"	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//BSA-hg38/BSA-hg38-3p-UTR.liet.ann	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/ortholog-output/MANE-annotation-overlaps-across-all-species/overlapping_orthologs_Hal_format.MANE.bed	13	0.5	0.7	0.005	"PRO-BSA-Human-1.hg38,PRO-BSA-Human-2.hg38"	0.001
BSA-rheMac8	"BSA-rheMac8_PRO-BSA-Rhesus-1.rheMac8,BSA-rheMac8_PRO-BSA-Rhesus-2.rheMac8"	2	"#d689b5,#d689b5"	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations/BSA-rheMac8/BSA-rheMac8-3p-UTR.liet.ann		13	0.5	0.7	0.005	"PRO-BSA-Rhesus-1.rheMac8,PRO-BSA-Rhesus-2.rheMac8"	0.001
Meta-BSA-nomLeu3	Meta-BSA-nomLeu3_meta_PRO-BSA-Gibbon.nomLeu3	1	#ec8553	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//Meta-BSA-nomLeu3/Meta-BSA-nomLeu3-3p-UTR.liet.ann	/Users/geba9152/3end_paper_backed_up_data/MANE-annotation-overlaps-across-all-species/merged.hg38_nomLeu3.bed	13	0.5	0.7	0.005	meta_PRO-BSA-Gibbon.nomLeu3	0.001
Meta-BSA-saiBol1	Meta-BSA-saiBol1_meta_PRO-BSA-SquirrelMonkey.saiBol1	1	#eccb53	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//Meta-BSA-saiBol1/Meta-BSA-saiBol1-3p-UTR.liet.ann	/Users/geba9152/3end_paper_backed_up_data/MANE-annotation-overlaps-across-all-species/merged.hg38_saiBol1.bed	13	0.5	0.7	0.005	meta_PRO-BSA-SquirrelMonkey.saiBol1	0.001
Meta-BSA-rheMac10	Meta-BSA-rheMac10_meta_PRO-BSA-Rhesus.rheMac10	1	#c689d6	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//Meta-BSA-rheMac10/Meta-BSA-rheMac10-3p-UTR.liet.ann	/Users/geba9152/3end_paper_backed_up_data/MANE-annotation-overlaps-across-all-species/merged.hg38_rheMac10.bed	13	0.5	0.7	0.005	meta_PRO-BSA-Rhesus.rheMac10	0.001
Meta-BSA-hg38	Meta-BSA-hg38_meta_PRO-BSA-Human.hg38	1	#d689b5	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//Meta-BSA-hg38/Meta-BSA-hg38-3p-UTR.liet.ann	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/ortholog-output/MANE-annotation-overlaps-across-all-species/overlapping_orthologs_Hal_format.MANE.bed	13	0.5	0.7	0.005	meta_PRO-BSA-Human.hg38	0.001
Etchegaray2019histone	"Etchegaray2019histone_SRR9007616.mm10,Etchegaray2019histone_SRZ9007617.mm10"	1	#d689b5	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/daniel-animal-liet/annotations//Etchegaray2019histone/Etchegaray2019histone-3p-UTR.liet.ann	/Users/geba9152/3end_paper_backed_up_data/MANE-annotation-overlaps-across-all-species/merged.hg38_mm10.bed	13	13	13	13	"SRR9007616.mm10,SRZ9007617.mm10"	0.001
