Experiment	Samples	Sample_Count	Colors	Sense_Coverage_Cutoff	Gene_Length_Cutoff	Annotation	Residual_Cutoff	wB_Cutoff	wB_a_Cutoff	Coverage_Antisense_Cutoff	Names	Normalized_Complexity_Cutoff	Sense_Coverage_Cutoff_Adj
Meta-BEAS2B-Woodsmoke	Meta-BEAS2B-Woodsmoke_meta_BEAS2B-Woodsmoke-Veh,Meta-BEAS2B-Woodsmoke_meta_BEAS2B-Woodsmoke-30,Meta-BEAS2B-Woodsmoke_meta_BEAS2B-Woodsmoke-120	3	#dededd,#8dcdeb,#59a4c8	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-BEAS2B-Woodsmoke/Meta-BEAS2B-Woodsmoke-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_BEAS2B-Woodsmoke-Veh,meta_BEAS2B-Woodsmoke-30,meta_BEAS2B-Woodsmoke-120	0.001	0.001
OV90-CDK7i	OV90-CDK7i_DMSO_0_R1,OV90-CDK7i_DMSO_0_R2,OV90-CDK7i_SY_0_R1,OV90-CDK7i_SY_0_R2	4	#dededd,#dededd,#6cf3e2,#6cf3e2	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/OV90-CDK7i/OV90-CDK7i-3p-UTR.liet.ann	13	0.5	0.7	0.005	DMSO_0_R1,DMSO_0_R2,SY_0_R1,SY_0_R2	0.001	0.001
U2OS-Specific	U2OS-Specific_meta_Nina-Control	1	#f3b26c	0.0075	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/U2OS-Specific/U2OS-Specific-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_Nina-Control	0.001	0.0075
Meta-Eric-HS	Meta-Eric-HS_meta_Eric37,Meta-Eric-HS_meta_Eric42	2	#dededd,#f3786c	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-Eric-HS/Meta-Eric-HS-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_Eric37,meta_Eric42	0.001	0.001
Nina-Arsenic	Nina-Arsenic_Nina5_rpi35_b2_U2OS_wt_S5_R1_001,Nina-Arsenic_Nina1_rpi27_b1_U2OS_wt_S1_R1_001,Nina-Arsenic_Nina6_rpi40_b2_U2OS_wt_1hAS_S6_R1_001,Nina-Arsenic_Nina2_rpi30_b1_U2OS_wt_1hAS_S2_R1_001	4	#dededd,#dededd,#7579f4,#7579f4	0.0075	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Nina-Arsenic/Nina-Arsenic-3p-UTR.liet.ann	13	0.5	0.7	0.005	Nina5_rpi35_b2_U2OS_wt_S5_R1_001,Nina1_rpi27_b1_U2OS_wt_S1_R1_001,Nina6_rpi40_b2_U2OS_wt_1hAS_S6_R1_001,Nina2_rpi30_b1_U2OS_wt_1hAS_S2_R1_001	0.001	0.0075
Meta-Jaegar2020-CDK9i	Meta-Jaegar2020-CDK9i_meta_Jaegar2020-Control,Meta-Jaegar2020-CDK9i_meta_Jaegar2020-CDK9i	2	#dededd,#b475f4	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-Jaegar2020-CDK9i/Meta-Jaegar2020-CDK9i-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_Jaegar2020-Control,meta_Jaegar2020-CDK9i	0.001	0.001
Jaegar2020-CDK9i	Jaegar2020-CDK9i_SRZ10354600,Jaegar2020-CDK9i_SRZ10354602,Jaegar2020-CDK9i_SRZ10354616,Jaegar2020-CDK9i_SRZ10354618	4	#dededd,#dededd,#b475f4,#b475f4	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Jaegar2020-CDK9i/Jaegar2020-CDK9i-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRZ10354600,SRZ10354602,SRZ10354616,SRZ10354618	0.001	0.001
HCT-SRRs	HCT-SRRs_SRZ6290515,HCT-SRRs_SRZ6290523,HCT-SRRs_SRR9304731,HCT-SRRs_SRR8867637,HCT-SRRs_SRR8867629,HCT-SRRs_SRR8867636,HCT-SRRs_SRR8867628,HCT-SRRs_SRR9304730,HCT-SRRs_SRZ6290499,HCT-SRRs_SRZ6290507	10	#eabf81,#eabf81,#eabf81,#eabf81,#eabf81,#eabf81,#eabf81,#eabf81,#eabf81,#eabf81	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HCT-SRRs/HCT-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRZ6290515,SRZ6290523,SRR9304731,SRR8867637,SRR8867629,SRR8867636,SRR8867628,SRR9304730,SRZ6290499,SRZ6290507	0.001	0.001
Eric-HS	Eric-HS_Eric37_rep1,Eric-HS_Eric37_rep2,Eric-HS_Eric42_rep1,Eric-HS_Eric42_rep2	4	#dededd,#dededd,#ff7564,#ff7564	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Eric-HS/Eric-HS-3p-UTR.liet.ann	13	0.5	0.7	0.005	Eric37_rep1,Eric37_rep2,Eric42_rep1,Eric42_rep2	0.001	0.001
Meta-Nina-Arsenic	Meta-Nina-Arsenic_meta_Nina-Control,Meta-Nina-Arsenic_meta_Nina-Arsenic	2	#dededd,#7579f4	0.0075	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-Nina-Arsenic/Meta-Nina-Arsenic-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_Nina-Control,meta_Nina-Arsenic	0.001	0.0075
BEAS2B-Woodsmoke	BEAS2B-Woodsmoke_SRR13772348,BEAS2B-Woodsmoke_SRR13772349,BEAS2B-Woodsmoke_SRR13772350,BEAS2B-Woodsmoke_SRR13772351,BEAS2B-Woodsmoke_SRR13772352,BEAS2B-Woodsmoke_SRR13772353	6	#dededd,#dededd,#8dcdeb,#8dcdeb,#59a4c8,#59a4c8	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/BEAS2B-Woodsmoke/BEAS2B-Woodsmoke-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRR13772348,SRR13772349,SRR13772350,SRR13772351,SRR13772352,SRR13772353	0.001	0.001
LCL-Specfic	LCL-Specfic_meta_lymphoblast	1	#eaac1b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/LCL-Specfic/LCL-Specfic-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_lymphoblast	0.001	0.001
Meta-OV90-CDK7i	Meta-OV90-CDK7i_meta_DMSO_0,Meta-OV90-CDK7i_meta_SY_0	2	#dededd,#6cf3e2	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/Meta-OV90-CDK7i/Meta-OV90-CDK7i-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_DMSO_0,meta_SY_0	0.001	0.001
HCT-Specific	HCT-Specific_meta_HCT116	1	#eabf81	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/HCT-Specific/HCT-Specific-3p-UTR.liet.ann	13	0.5	0.7	0.005	meta_HCT116	0.001	0.001
LCL-SRRs	LCL-SRRs_SRR6727956,LCL-SRRs_SRR6727955,LCL-SRRs_SRR6727959,LCL-SRRs_SRR6727949,LCL-SRRs_SRR6727951,LCL-SRRs_SRR6727945,LCL-SRRs_SRR6727954,LCL-SRRs_SRR6727952,LCL-SRRs_SRR6727948,LCL-SRRs_SRR6727944,LCL-SRRs_SRR6727942,LCL-SRRs_SRR6727947,LCL-SRRs_SRR6727953,LCL-SRRs_SRR6727957,LCL-SRRs_SRR6727941,LCL-SRRs_SRR6727946,LCL-SRRs_SRR6727950,LCL-SRRs_SRR6727958,LCL-SRRs_SRR6727943	19	#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b,#eaac1b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/LCL-SRRs/LCL-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRR6727956,SRR6727955,SRR6727959,SRR6727949,SRR6727951,SRR6727945,SRR6727954,SRR6727952,SRR6727948,SRR6727944,SRR6727942,SRR6727947,SRR6727953,SRR6727957,SRR6727941,SRR6727946,SRR6727950,SRR6727958,SRR6727943	0.001	0.001
KBM7-SRRs	KBM7-SRRs_SRZ10354608,KBM7-SRRs_SRR10354625,KBM7-SRRs_SRZ10354610,KBM7-SRRs_SRR10354624	4	#ea891b,#ea891b,#ea891b,#ea891b	0.001	7000	/scratch/Users/geba9152/LIET-3end-analysis/gene_curation_MANE/annotations/KBM7-SRRs/KBM7-SRRs-3p-UTR.liet.ann	13	0.5	0.7	0.005	SRZ10354608,SRR10354625,SRZ10354610,SRR10354624	0.001	0.001
